;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Mandab Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Mandab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADU_title;Grant Macaristan Independence;;;;;;;;;;;;x,,
gtfo_ADU_desc;We've had a good run, but it's time to end our rulership of Macaristan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Kabulistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Kabulistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKM_title;Grant Akamatsu Independence;;;;;;;;;;;;x,,
gtfo_AKM_desc;We've had a good run, but it's time to end our rulership of Akamatsu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Algiers Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Algiers: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALH_title;Grant Haasa Independence;;;;;;;;;;;;x,,
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Haasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AND_title;Grant Andhra Independence;;;;;;;;;;;;x,,
